Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0124,Shatabdi AC Seater 2+2,10:31,05h 00m,15:31,3.9,INR 598,37 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0002,Ordinary Non AC Seater 2+3,10:40,05h 50m,16:30,3.3,INR 444,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0003,Ordinary Non AC Seater 2+3,11:00,06h 00m,17:00,3.3,INR 444,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - PLB0004,Shatabdi AC Seater 2+2,11:00,05h 50m,16:50,4.3,INR 598,37 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0004,Ordinary Non AC Seater 2+3,11:20,06h 10m,17:30,3.3,INR 444,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0005,Ordinary Non AC Seater 2+3,11:40,06h 20m,18:00,3.3,INR 444,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0127,Shatabdi AC Seater 2+2,11:49,05h 00m,16:49,4.3,INR 598,37 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0155,Ordinary Non AC Seater 2+3,12:00,05h 30m,17:30,3.3,INR 448,41 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0006,Ordinary Non AC Seater 2+3,12:00,06h 30m,18:30,3.3,INR 444,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GRH0127,Ordinary Non AC Seater 2+3,12:00,06h 30m,18:30,3.3,INR 449,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0007,Ordinary Non AC Seater 2+3,12:20,06h 40m,19:00,3.3,INR 444,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BRT0061,Ordinary Non AC Seater 2+3,12:30,07h 10m,19:40,3.3,INR 448,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GND0079,Ordinary Non AC Seater 2+3,12:30,05h 20m,17:50,3.3,INR 426,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - KSB0087,Volvo AC Seater 2+2,12:31,05h 00m,17:31,3.3,INR 844,39 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GRH0129,Ordinary Non AC Seater 2+3,13:00,06h 30m,19:30,3.3,INR 449,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0157,Ordinary Non AC Seater 2+3,13:00,05h 30m,18:30,3.3,INR 448,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLP0018,Ordinary Non AC Seater 2+3,13:00,06h 30m,19:30,3.3,INR 426,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0008,Ordinary Non AC Seater 2+3,13:00,06h 30m,19:30,3.3,INR 444,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0106,Shatabdi AC Seater 2+2,13:01,04h 59m,18:00,3.0,INR 598,36 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - STD0081,Ordinary Non AC Seater 2+3,13:20,07h 27m,20:47,3.3,INR 450,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0146,Rajdhani Non AC Seater 2+3,13:30,05h 00m,18:30,3.3,INR 448,52 Seats available
